id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
876406,Charming Bungalow,4628474,Trish,Victoria,James Bay,48.41591,-123.37886,Entire home/apt,169,30,90,2024-06-01,0.68,1,0,4,
910427,Cedar Log Home Galiano Island,4883986,Robbie,Southern Gulf Islands,Southern Gulf Islands,48.88554,-123.33073,Entire home/apt,166,1,478,2024-06-16,5.54,1,302,75,
936367,Cook St Village Suite,3967984,Nicole & Gilles,Victoria,Fairfield,48.41385,-123.34948,Entire home/apt,89,30,370,2024-06-10,2.68,1,110,9,
939467,Eagles Nest Oceanfront Galiano West Coast Home,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86675,-123.35109,Entire home/apt,1029,4,42,2023-08-14,0.31,2,39,1,
955575,Galiano Cabin Hideaway,5111791,Helen,Southern Gulf Islands,Southern Gulf Islands,48.89183,-123.36252,Entire home/apt,228,2,299,2024-06-08,2.43,1,213,17,
973849,Renovated Suite in Rockland Area #7,2001974,Martin,Victoria,Rockland,48.42413,-123.34064,Entire home/apt,76,90,10,2022-12-12,0.08,17,303,0,
985260,"Lovely Private Waterfront, Beachwood Cottage",5685155,Jeannie,Metchosin,Metchosin,48.39622,-123.49174,Entire home/apt,190,14,16,2023-09-30,0.12,1,179,2,
1015996,Character Oak Bay Home by the Sea,5326675,Sally,Oak Bay,Oak Bay,48.41999,-123.31754,Entire home/apt,557,3,46,2023-09-15,0.35,1,276,3,
1038822,Dallas Rd & Menzies James Bay Suite #1,2001974,Martin,Victoria,James Bay,48.41307,-123.37635,Entire home/apt,86,90,27,2023-11-01,0.20,17,61,1,
1055500,Carriage House - Cottage,4134834,Dan & Naoko,Victoria,James Bay,48.41549,-123.36829,Entire home/apt,186,3,308,2024-06-23,2.26,3,88,33,
1080149,Foxglove Farm Classic Cottage B&B,5936608,Jeanne Marie,Salt Spring Island,Salt Spring Island,48.82581,-123.53203,Entire home/apt,325,3,75,2023-09-04,0.57,3,336,2,
1080266,Foxglove Farm Heritage Farmhouse B&B,5936608,Jeanne Marie,Salt Spring Island,Salt Spring Island,48.82561,-123.53189,Entire home/apt,325,3,71,2023-08-04,0.54,3,333,5,
1080594,Carriage House - The Carriage Room,4134834,Dan & Naoko,Victoria,James Bay,48.41529,-123.36792,Private room,136,3,303,2024-06-24,2.22,3,224,32,
1114544,Salt Spring Carriage House - The Loft,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89553,-123.53199,Private room,190,2,29,2024-06-10,0.22,2,221,3,
1114575,Salt Spring Carriage House - Garden Room,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89723,-123.53253,Private room,190,2,73,2024-05-24,0.86,2,172,14,
1135175,Small Double Room,6225439,Ocean Island Inn,Victoria,Downtown,48.42778,-123.36183,Private room,134,1,217,2024-06-09,1.63,10,120,39,Exempt
1156460,Stunning 3BD vacation retreat!,3687551,Rita,Oak Bay,Oak Bay,48.40888,-123.32249,Entire home/apt,500,3,21,2023-07-13,0.17,1,195,1,
1186607,Inlet Beach House Oceanfront Vacation Suite,6487007,Linda And Ken,North Saanich,North Saanich,48.67706,-123.48604,Entire home/apt,99,30,20,2022-08-11,0.18,1,83,0,
1194888,Small Double Room with Sink,6225439,Ocean Island Inn,Victoria,Downtown,48.42778,-123.36183,Private room,,1,79,2023-12-12,0.60,10,121,4,Exempt
1216960,Hidden Retreat,6640415,Karen,Salt Spring Island,Salt Spring Island,48.75907,-123.41367,Entire home/apt,140,3,512,2024-05-20,3.84,1,280,43,
1237030,Eaglehurst on Mayne Island,6743151,Jon,Southern Gulf Islands,Southern Gulf Islands,48.8694,-123.28422,Entire home/apt,140,2,22,2019-08-25,0.22,1,74,0,
1244138,Private room in Central apartment.,6781810,Jocelyn,Saanich,Saanich,48.4504,-123.36442,Private room,75,14,137,2023-11-02,1.43,1,169,8,
1295158,Oceanfront Cottage Galiano Island,7042586,Andrea,Southern Gulf Islands,Southern Gulf Islands,48.87860357933406,-123.32424290103387,Entire home/apt,350,2,106,2024-06-18,1.06,1,200,13,
1298140,"Downtown Waterfront, Walk anywhere!",4273068,Agata,Victoria,Downtown,48.43036,-123.3701,Entire home/apt,127,90,564,2024-05-01,4.22,3,316,20,35089
1352981,Galiano Harbour View House,7344155,Erik,Southern Gulf Islands,Southern Gulf Islands,48.89739,-123.39638,Entire home/apt,381,2,312,2024-06-22,2.37,1,188,35,
1423359,Family and pet friendly 2 bedroom,7661023,Luc,Central Saanich,Central Saanich,48.57214,-123.40253,Entire home/apt,121,7,83,2017-09-30,0.63,1,232,0,
1429004,A Relaxed West Coast View Retreat,7684925,Brad,Salt Spring Island,Salt Spring Island,48.87182,-123.54616,Entire home/apt,589,3,102,2024-06-09,0.77,1,81,7,
1431103,Getaway By The Beach,7693415,Jordan,Juan de Fuca,Juan de Fuca,48.40627,-123.35579,Entire home/apt,99,30,77,2023-07-31,0.59,7,285,1,
1437207,City centre secret surprise . For Sale,7720692,Gary,Victoria,Burnside,48.44427,-123.37355,Entire home/apt,300,30,32,2023-09-30,0.27,1,364,2,
1438200,Whale Pod Chalet at Oaks Bluff  Whale watching,7725567,Kevin,Southern Gulf Islands,Southern Gulf Islands,48.75305,-123.26952,Entire home/apt,700,7,76,2024-06-10,0.70,1,284,11,
1446069,A Country House in a Woodland B&B,6688464,Maureen,Salt Spring Island,Salt Spring Island,48.80695,-123.4306,Private room,,7,69,2022-09-24,0.52,1,0,0,
1507543,Fairfield/Oak Bay Garden Suite In Newer Home,6781982,John,Victoria,Gonzales,48.42168,-123.32765,Entire home/apt,,30,0,,,2,0,0,
1535322,Wisteria Honeymoon Cottage B & B - Angel Room,8187727,Gail,Sooke,Sooke,48.39323,-123.61809,Private room,182,90,16,2021-10-11,0.13,3,358,0,
1625194,Fully Equipped Downtown Condo,7637861,Major,Victoria,Downtown,48.42963,-123.36333,Entire home/apt,128,28,22,2022-09-25,0.18,1,88,0,
1636029,Raylia Cottage Farm Stay,8689202,Michele,Southern Gulf Islands,Southern Gulf Islands,48.84441,-123.2781,Entire home/apt,175,2,300,2024-06-23,2.46,2,302,28,
1656504,Cedar House on the Hill B&B,8781598,Rita & Manfred,Salt Spring Island,Salt Spring Island,48.83766,-123.50023,Entire home/apt,95,1,205,2024-06-23,1.57,1,4,23,
1672868,"A Happinest   A cozy, nest- like cabin on SSI, BC!",8855800,Bruce,Salt Spring Island,Salt Spring Island,48.83231,-123.49923,Entire home/apt,156,2,569,2024-06-14,4.42,1,293,48,
1683153,Private Loft Studio - Above Gordon's Beach,8731181,Janis,Juan de Fuca,Juan de Fuca,48.37585,-123.84029,Entire home/apt,150,2,144,2022-05-29,1.11,2,344,0,
1720832,Cob Cottage,9071324,Alexis,Southern Gulf Islands,Southern Gulf Islands,48.83064,-123.25866,Entire home/apt,196,2,825,2024-06-23,6.37,1,28,104,
1766713,Oak Suite: spacious & bright (90+ nights or RTA),2375062,John,Victoria,Oaklands,48.43815,-123.34885,Entire home/apt,308,90,40,2023-04-30,0.33,6,0,0,
1825544,Classic 1931 40-ft Wooden Yacht. 20HP Zodiac.,9430571,Nicholas,Sidney,Sidney,48.66828,-123.40711,Entire home/apt,195,5,25,2022-08-09,0.26,1,365,0,
1826554,2 bedroom 1 bathroom full kitchen private suite.,9557712,Dave,Sidney,Sidney,48.66164,-123.41283,Entire home/apt,145,2,177,2024-06-15,1.46,1,293,20,
1897071,New and Modern best location- Aria,9176808,Victoria Executive Rental,Victoria,James Bay,48.41999,-123.36558,Entire home/apt,200,30,2,2023-10-01,0.05,16,359,1,
1948248,James Bay - Cozy Loft,2697862,Brenda,Victoria,James Bay,48.42047,-123.38496,Private room,152,29,130,2023-08-12,1.04,1,360,1,
1993822,"VIEWS of Olympic Mts, Inner Harbour",10277435,Laura,Victoria,James Bay,48.41567,-123.36758,Entire home/apt,,90,22,2024-05-05,0.18,1,109,4,
2015937,"Spacious, private island retreat",10368393,Farheen,Southern Gulf Islands,Southern Gulf Islands,48.84217,-123.25266,Entire home/apt,200,2,133,2024-06-24,1.07,1,26,21,
2027067,Magic Lamp on Saint Mary Lake,10412296,Tania,Salt Spring Island,Salt Spring Island,48.90109,-123.54897,Entire home/apt,175,2,214,2024-06-22,2.74,1,135,40,
2033520,West Shore Woodland Retreat,10438699,Nancy & Keith,Langford,Langford,48.45925,-123.48756,Entire home/apt,87,3,262,2024-06-13,2.28,1,80,22,
2128631,Macaulay Point Guest House,10860084,Andrew And Nancy,Esquimalt,Esquimalt,48.41726,-123.4058,Entire home/apt,239,30,716,2024-06-23,5.76,2,234,17,
2138626,Best location downtown! Modern and Chic! Superb!,9176808,Victoria Executive Rental,Victoria,Fairfield,48.42176,-123.36168,Entire home/apt,299,70,41,2023-08-12,0.39,16,153,1,
2138926,"Beautiful Oak Bay, 2 min from beach",10915191,Jill,Oak Bay,Oak Bay,48.43747,-123.30444,Entire home/apt,790,10,120,2023-08-09,0.98,1,307,2,
2140350,Cosy suite close to university and downtown.,3631087,Robin,Victoria,Oaklands,48.44363,-123.34067,Entire home/apt,90,30,177,2024-06-11,1.42,1,284,3,
2149566,Ocean Oasis & Panoramic Views & 6 park-like acres,10970299,Tanya,Juan de Fuca,Juan de Fuca,48.3759,-123.83995,Entire home/apt,316,2,168,2024-06-15,1.38,3,35,11,
2188717,Charming Penthouse Studio in Old Town,11160710,Christian,Victoria,Downtown,48.42726,-123.37033,Entire home/apt,67,90,579,2024-04-30,4.65,1,180,24,39632
2392116,Small Queen Room,6225439,Ocean Island Inn,Victoria,Downtown,48.42756,-123.36202,Private room,,1,72,2024-06-01,0.76,10,118,9,Exempt
2488004,Tall House- Walk to Beaches,12732725,Gloria,Southern Gulf Islands,Southern Gulf Islands,48.73663,-123.20257,Entire home/apt,185,2,203,2024-05-26,1.63,1,297,13,
2544515,Sidney 3 bedroom house blocks to ocean and town,13027502,Darren,Sidney,Sidney,48.64516,-123.39838,Entire home/apt,300,3,23,2024-05-11,0.19,4,289,3,
2560212,Deluxe studio suite 2 blocks ocean/town,13027502,Darren,Sidney,Sidney,48.64531,-123.39982,Entire home/apt,200,5,32,2023-08-15,0.27,4,214,1,
2600175,Waterfront Eco home with hot tub,4130371,Caroline,Saanich,Saanich,48.46329,-123.41661,Entire home/apt,357,3,75,2024-06-26,0.63,1,264,14,
2682515,Private Garden Suite - 1 Queen - Full Kitchen,13732844,Mary Ellen,Saanich,Saanich,48.44379,-123.32464,Entire home/apt,150,2,57,2023-09-18,0.58,3,356,7,
2685512,Spacious Modern-Rustic Farmhouse - Saltspring Is.,2154631,Ted,Salt Spring Island,Salt Spring Island,48.91043,-123.56503,Entire home/apt,1071,3,23,2024-01-04,0.19,2,298,1,
2695286,"Soak in the Marble Tub at Our Sleek, Urban Condo",11773739,Annie,Victoria,Downtown,48.42205,-123.36658,Entire home/apt,169,2,860,2024-05-04,6.98,2,120,58,38792
2709790,Rockheights Retreat- 1 Bedroom,6513529,Melissa,Esquimalt,Esquimalt,48.43566,-123.4083,Entire home/apt,,4,97,2023-07-16,0.81,1,0,2,
2748050,Suite in magical forest sanctuary,14059602,Renate,North Saanich,North Saanich,48.68379,-123.46234,Private room,150,2,17,2021-09-03,0.14,1,365,0,
2756438,Salt Spring Farm on the Lake-Monthly Summer Rental,12482823,Kim And Mike,Salt Spring Island,Salt Spring Island,48.78341,-123.43156,Entire home/apt,380,29,22,2020-08-28,0.18,1,267,0,
2770659,Birds of a Feather Oceanfront Condo full kitchen,14168871,Paphada And Dieter,Colwood,Colwood,48.42312,-123.47298,Private room,258,1,50,2024-05-05,0.52,4,310,4,
2771699,"Lovely home, great neighbourhood",7453989,Barbara,View Royal,View Royal,48.45238,-123.44484,Entire home/apt,200,7,64,2024-06-16,0.52,1,122,9,
2777765,Birds of a Feather Ocean Lagoon Studio Suite +loft,14168871,Paphada And Dieter,Colwood,Colwood,48.42312,-123.47298,Private room,248,1,33,2023-05-06,0.31,4,304,0,
2818153,Gallery Cabin,455118,Celia,Salt Spring Island,Salt Spring Island,48.86068,-123.49928,Entire home/apt,193,2,262,2024-06-28,2.16,3,298,23,
2839203,Studio Near Fernwood Village,2001974,Martin,Victoria,Fernwood,48.42468,-123.34637,Entire home/apt,66,90,15,2024-03-18,0.12,17,271,3,
2858425,"Patio Room near UVic, Hospital, DT (for NonSmoker)",14613802,Anna,Victoria,South Jubilee,48.42946,-123.32591,Private room,85,5,99,2024-06-07,0.82,2,287,10,36495
2874927,Birds of a Feather Oceanfront King Studio Suite,14168871,Paphada And Dieter,Colwood,Colwood,48.42312,-123.47298,Private room,268,1,21,2023-12-31,0.19,4,304,1,
2883153,Port Renfrew Beach House,14733720,Port Renfrew Beach House,Juan de Fuca,Juan de Fuca,48.5569,-124.40614,Entire home/apt,525,1,117,2024-06-18,1.08,1,276,14,
2970506,Grand View ! ( a Single Room with a double-bed ),15157379,Lauren,Colwood,Colwood,48.41846,-123.48017,Private room,150,2,37,2018-07-29,0.31,3,89,0,
2970733,Ocean-View !(Double Room with two double beds),15157379,Lauren,Colwood,Colwood,48.41818,-123.48099,Private room,250,2,17,2019-01-01,0.14,3,88,0,
2974477,Victoria Ocean-view House (Single rooms),15173300,Jongsoon,Colwood,Colwood,48.41811,-123.48018,Private room,156,2,0,,,2,364,0,
2997001,Top of the World,15277403,Concetta,Langford,Langford,48.41632,-123.51377,Private room,,1,5,2017-08-18,0.05,1,0,0,
2998484,Private Room with Queen Bed,15285339,Sonja,Saanich,Saanich,48.48605,-123.42096,Private room,65,1,263,2024-06-26,2.16,1,4,10,
3027057,"Fireside Cottage, Galiano Island",15420155,Joanne,Southern Gulf Islands,Southern Gulf Islands,48.91386,-123.39287,Entire home/apt,450,2,138,2024-06-09,1.21,1,316,18,
3043831,Garden Level Suite,15500247,Snow,Saanich,Saanich,48.48817,-123.32121,Entire home/apt,,1,3,2023-04-10,0.20,1,0,0,
3080917,Cozy cabin on Saltspring Island,2154631,Ted,Salt Spring Island,Salt Spring Island,48.91029,-123.56399,Entire home/apt,221,2,69,2024-05-05,0.58,2,289,2,
3084861,Poirier Cove - house on the beach,11377003,Corinne,Juan de Fuca,Juan de Fuca,48.36216,-123.80031,Entire home/apt,300,2,281,2024-06-21,2.34,1,136,36,
3133074,Victoria Studio By The Beach,15909261,Anita,Oak Bay,Oak Bay,48.41347,-123.30867,Entire home/apt,176,2,158,2024-06-25,1.30,1,70,15,
3175704,Gonzales Beach Character Home,16103648,Travis,Victoria,Gonzales,48.41168,-123.3326,Entire home/apt,492,2,102,2023-09-04,0.85,1,9,13,34920
3186167,North Star Cottage,16153395,Zoe,Southern Gulf Islands,Southern Gulf Islands,48.77146,-123.28486,Entire home/apt,176,2,123,2024-06-16,1.02,1,50,9,
3219266,Suite Near It All (2 bed Upper),7693415,Jordan,Victoria,James Bay,48.41352,-123.37347,Entire home/apt,110,30,28,2017-08-16,0.24,7,186,0,
3284412,"Vocational Cottage close to beach, park, and Uvic.",16513589,Cindy,Saanich,Saanich,48.46329,-123.29907,Entire home/apt,105,1,53,2023-08-15,0.44,3,44,3,
3294156,Ruby room,16513589,Cindy,Saanich,Saanich,48.4615,-123.29888,Private room,53,20,24,2023-06-29,0.22,3,246,0,
3380702,Shared home Sooke,17056728,Kelly,Sooke,Sooke,48.37733,-123.73161,Private room,69,2,47,2023-08-30,0.39,1,333,2,
3402265,Salt Spring Waterfront,17158313,Kelley And Kent,Salt Spring Island,Salt Spring Island,48.85127,-123.44538,Entire home/apt,325,2,278,2024-05-20,2.30,1,245,21,
3415390,Jordan River Rainforest Cabin & Spa,3949883,Sarah,Juan de Fuca,Juan de Fuca,48.43858,-124.07317,Entire home/apt,447,2,295,2024-06-09,2.44,1,201,33,
3424337,Gorgeous Urban Condo@Juliet(Licence No. 00039494),17260644,Linda,Victoria,Downtown,48.42721,-123.36218,Entire home/apt,100,90,300,2024-04-23,6.66,3,210,91,39494
3440301,LUXURIOUS VACATION HOME IN LANGFORD,17337787,Allen,Langford,Langford,48.44317,-123.53394,Entire home/apt,,5,43,2023-07-04,0.36,1,0,1,
3464301,Condo close to beach and golf,4080829,Rob & Angelika,Colwood,Colwood,48.40669,-123.49409,Entire home/apt,80,3,58,2024-04-29,0.61,2,0,4,
3486035,Cliff Top Family Home Over Looking the Ocean,17554011,Carley,Southern Gulf Islands,Southern Gulf Islands,48.74916,-123.21739,Entire home/apt,500,3,146,2023-12-30,1.21,1,71,11,
3512430,Jade room,16513589,Cindy,Saanich,Saanich,48.46214,-123.29948,Private room,66,3,29,2023-07-05,0.24,3,300,1,
3563531,Westover Bed and Breakfast,12225288,Tara,Salt Spring Island,Salt Spring Island,48.8625,-123.49136,Private room,136,2,529,2024-06-23,4.36,1,275,36,
3569698,Orchard Cabin,17972974,Chris,Salt Spring Island,Salt Spring Island,48.84544,-123.49992,Entire home/apt,171,2,150,2024-04-01,1.27,1,285,5,
3651435,Comfortable home in Saanich Room #1,18464970,Robert,Saanich,Saanich,48.47223,-123.39065,Private room,39,20,48,2024-03-31,0.42,2,293,7,
3655817,CORDOVA  BAY HIDEAWAY in Victoria B.C.,18509957,Chris,Saanich,Saanich,48.52583,-123.37052,Entire home/apt,114,2,217,2024-06-14,1.80,1,149,20,
3719262,Victoria Getaway!,6186335,Joan,Saanich,Saanich,48.46502,-123.34168,Entire home/apt,,2,48,2016-08-31,0.40,1,0,0,
3875655,Little Arbutus Loft,20025271,Neil And Shandell,Juan de Fuca,Juan de Fuca,48.43349,-124.06886,Entire home/apt,191,2,312,2024-06-22,2.61,1,64,50,
3935877,"""The Nutcracker Suite""",8184682,Bill & Marg,Saanich,Saanich,48.4669624,-123.411246,Entire home/apt,130,2,545,2024-01-31,4.55,1,203,5,
3938082,3 Bedroom House,20403687,Mike,Saanich,Saanich,48.47011,-123.41582,Entire home/apt,329,30,0,,,3,358,0,
3972032,Delightful Country Cottage,19592144,Brigitte,Southern Gulf Islands,Southern Gulf Islands,48.74197,-123.21624,Entire home/apt,250,2,91,2024-02-19,0.77,1,91,11,
3972446,2bdm-sleeps6 Condo Victoria WM Resort,19139775,Lorie,Victoria,James Bay,48.42133,-123.38119,Entire home/apt,450,1,39,2023-09-01,0.40,7,330,1,
3978639,Dog-friendly cozy cabin in Arbutus grove,20620419,Kate,Southern Gulf Islands,Southern Gulf Islands,48.83986,-123.25365,Entire home/apt,125,3,145,2024-06-25,1.41,1,39,21,
4025632,Beautiful oceanview suite near parks & wineries!,20860454,Shannon,North Saanich,North Saanich,48.61515,-123.40429,Entire home/apt,,2,272,2024-05-01,2.28,2,0,23,
4029299,Spectacular Ocean & Mountain View,17333847,Marjorie,Colwood,Colwood,48.42023,-123.50897,Entire home/apt,158,2,0,,,1,179,0,
4050671,Seal Beach Cottage - Spacious waterfront 22 acres!,21004279,Lois,Southern Gulf Islands,Southern Gulf Islands,48.8511,-123.30196,Entire home/apt,358,2,253,2024-06-17,2.14,1,302,18,
4053260,"Treehouse on the Beach- Kayak, scuba",21019094,Meron,Juan de Fuca,Juan de Fuca,48.57259,-123.48942,Private room,99,1,177,2024-06-16,1.49,2,153,14,
4137885,Graceland Lavender Rill Retreat,21467355,Nan And Michael,Metchosin,Metchosin,48.3913,-123.50225,Entire home/apt,80,3,362,2024-06-14,3.17,1,291,36,2455
4169620,Welcome to Shadow Fin Inn,21637215,Kristen And Rudi,Langford,Langford,48.48746,-123.54453,Entire home/apt,140,2,116,2023-08-25,0.98,1,249,4,
4277981,South Park B&B,22209410,Alan& Elizabeth,Victoria,James Bay,48.41487,-123.36778,Private room,179,7,177,2024-04-27,1.52,1,179,11,Exempt
4279727,"Family Friendly 2bd+Den, 2BA Near D",7693415,Jordan,Victoria,James Bay,48.4135,-123.37169,Entire home/apt,,30,25,2017-09-01,0.23,7,0,0,
4279824,Adorable Cottage Near It All,7693415,Jordan,Victoria,James Bay,48.4126,-123.37325,Entire home/apt,90,30,27,2017-08-30,0.23,7,180,0,
4280016,Ganges Garden Studio,4162800,Ishbel,Salt Spring Island,Salt Spring Island,48.85571,-123.50775,Entire home/apt,154,2,294,2024-06-23,2.53,1,58,28,
4280067,Adorable Cottage By the Beach,7693415,Jordan,Victoria,Fairfield,48.40807,-123.35635,Entire home/apt,88,30,15,2017-07-21,0.13,7,180,0,
